Libellé Budget;Agrégat;Montant en € par habitant
GOURNAY-SUR-MARNE;Concours de l'Etat;99.1
GOURNAY-SUR-MARNE;Crédits de trésorerie;0
GOURNAY-SUR-MARNE;Dépenses de fonctionnement;1455.7
GOURNAY-SUR-MARNE;Dépenses d'équipement;633.2
GOURNAY-SUR-MARNE;Dépenses d'intervention;52.2
GOURNAY-SUR-MARNE;Dépenses d'investissement hors remb;647.9
GOURNAY-SUR-MARNE;Dépôts au Trésor;449.7
GOURNAY-SUR-MARNE;DETR;3.8
GOURNAY-SUR-MARNE;Dotation globale de fonctionnement;90.3
GOURNAY-SUR-MARNE;Encours de dette;1373.4
GOURNAY-SUR-MARNE;Encours de dette - Dépôts et cautionnements reçus;1.7
GOURNAY-SUR-MARNE;Ventes de biens et services;169.5
GOURNAY-SUR-MARNE;Autres dépenses de fonctionnement;35.4
GOURNAY-SUR-MARNE;Autres dépenses d'investissement;14.7
GOURNAY-SUR-MARNE;Autres recettes de fonctionnement;28.8
GOURNAY-SUR-MARNE;Autres recettes d'investissement;1.7
GOURNAY-SUR-MARNE;Dépenses totales hors remb;2103.6
GOURNAY-SUR-MARNE;Epargne brute;254.2
GOURNAY-SUR-MARNE;Impôts et taxes;1295.8
GOURNAY-SUR-MARNE;Encours de dette - Dettes bancaires et assimilées;1371.8
GOURNAY-SUR-MARNE;Frais de personnel;939.3
GOURNAY-SUR-MARNE;Subventions reçues et participations;116.7
GOURNAY-SUR-MARNE;Recettes totales hors emprunts;1987.3
GOURNAY-SUR-MARNE;Capacité ou besoin de financement;-116.3
GOURNAY-SUR-MARNE;Emprunts hors GAD;20.7
GOURNAY-SUR-MARNE;Remboursements d'emprunts hors GAD;80.1
GOURNAY-SUR-MARNE;Annuité de la dette;113.8
GOURNAY-SUR-MARNE;Dépenses d'investissement;728
GOURNAY-SUR-MARNE;Dépenses totales;2183.7
GOURNAY-SUR-MARNE;Epargne nette;174
GOURNAY-SUR-MARNE;Flux net de dette;-59.4
GOURNAY-SUR-MARNE;Recettes d'investissement;298.2
GOURNAY-SUR-MARNE;Recettes totales;2008
GOURNAY-SUR-MARNE;Variation du fonds de roulement;-175.7
L'ILE-SAINT-DENIS;Autres dotations et subventions;294.4
L'ILE-SAINT-DENIS;Autres impôts et taxes;32.4
L'ILE-SAINT-DENIS;Charges financières;25.5
L'ILE-SAINT-DENIS;Achats et charges externes;526.7
L'ILE-SAINT-DENIS;Autres dotations de fonctionnement;0
L'ILE-SAINT-DENIS;FCTVA;15.9
L'ILE-SAINT-DENIS;Fiscalité reversée;1.7
L'ILE-SAINT-DENIS;Fonds de roulement;985.8
L'ILE-SAINT-DENIS;Impôts locaux;917
L'ILE-SAINT-DENIS;Péréquations et compensations fiscales;32.3
L'ILE-SAINT-DENIS;Produit des cessions d'immobilisations;93.3
L'ILE-SAINT-DENIS;Recettes de fonctionnement;1763.3
L'ILE-SAINT-DENIS;Recettes d'investissement hors emprunts;405.8
L'ILE-SAINT-DENIS;Subventions aux personnes de droit privé;49.8
L'ILE-SAINT-DENIS;Subventions d'équipement versées;0
L'ILE-SAINT-DENIS;Epargne de gestion;130.1
L'ILE-SAINT-DENIS;Concours de l'Etat;308.3
L'ILE-SAINT-DENIS;Crédits de trésorerie;0
L'ILE-SAINT-DENIS;Dépenses de fonctionnement;1661.8
L'ILE-SAINT-DENIS;Dépenses d'équipement;522.8
L'ILE-SAINT-DENIS;Dépenses d'intervention;129.7
L'ILE-SAINT-DENIS;Dépenses d'investissement hors remb;522.8
L'ILE-SAINT-DENIS;Dépôts au Trésor;909.5
L'ILE-SAINT-DENIS;Dotation globale de fonctionnement;276
L'ILE-SAINT-DENIS;Encours de dette;1004.8
L'ILE-SAINT-DENIS;Encours de dette - Dépôts et cautionnements reçus;1.3
L'ILE-SAINT-DENIS;Ventes de biens et services;86.9
L'ILE-SAINT-DENIS;Autres dépenses de fonctionnement;39.8
L'ILE-SAINT-DENIS;Autres dépenses d'investissement;0
L'ILE-SAINT-DENIS;Autres recettes de fonctionnement;303.9
L'ILE-SAINT-DENIS;Autres recettes d'investissement;95.6
L'ILE-SAINT-DENIS;Dépenses totales hors remb;2184.6
L'ILE-SAINT-DENIS;Epargne brute;101.5
L'ILE-SAINT-DENIS;Impôts et taxes;949.4
L'ILE-SAINT-DENIS;Encours de dette - Dettes bancaires et assimilées;1003.5
L'ILE-SAINT-DENIS;Frais de personnel;940.2
L'ILE-SAINT-DENIS;Subventions reçues et participations;114.8
L'ILE-SAINT-DENIS;Recettes totales hors emprunts;2169.1
L'ILE-SAINT-DENIS;Capacité ou besoin de financement;-15.5
L'ILE-SAINT-DENIS;Emprunts hors GAD;0
L'ILE-SAINT-DENIS;Remboursements d'emprunts hors GAD;58.9
L'ILE-SAINT-DENIS;Annuité de la dette;84.5
L'ILE-SAINT-DENIS;Dépenses d'investissement;581.7
L'ILE-SAINT-DENIS;Dépenses totales;2243.5
L'ILE-SAINT-DENIS;Epargne nette;42.6
L'ILE-SAINT-DENIS;Flux net de dette;-58.9
L'ILE-SAINT-DENIS;Recettes d'investissement;405.8
L'ILE-SAINT-DENIS;Recettes totales;2169.1
L'ILE-SAINT-DENIS;Variation du fonds de roulement;-74.4
LA COURNEUVE;Autres dotations et subventions;102.6
LA COURNEUVE;Autres impôts et taxes;29.5
LA COURNEUVE;Charges financières;49.7
LA COURNEUVE;Achats et charges externes;374.1
LA COURNEUVE;Autres dotations de fonctionnement;0
LA COURNEUVE;FCTVA;72.1
LA COURNEUVE;Fiscalité reversée;216.2
LA COURNEUVE;Fonds de roulement;88.5
LA COURNEUVE;Impôts locaux;927
LA COURNEUVE;Péréquations et compensations fiscales;132.2
LA COURNEUVE;Produit des cessions d'immobilisations;89.3
LA COURNEUVE;Recettes de fonctionnement;1787.3
LA COURNEUVE;Recettes d'investissement hors emprunts;320.9
LA COURNEUVE;Subventions aux personnes de droit privé;20.8
LA COURNEUVE;Subventions d'équipement versées;14.3
LA COURNEUVE;Epargne de gestion;217.9
LA COURNEUVE;Concours de l'Etat;555.9
LA COURNEUVE;Crédits de trésorerie;0
LA COURNEUVE;Dépenses de fonctionnement;1619.3
LA COURNEUVE;Dépenses d'équipement;520.5
LA COURNEUVE;Dépenses d'intervention;136.4
LA COURNEUVE;Dépenses d'investissement hors remb;575.9
LA COURNEUVE;Dépôts au Trésor;110
LA COURNEUVE;Dotation globale de fonctionnement;423.7
LA COURNEUVE;Encours de dette;1552.8
LA COURNEUVE;Encours de dette - Dépôts et cautionnements reçus;0.1
LA COURNEUVE;Ventes de biens et services;87.6
LA COURNEUVE;Autres dépenses de fonctionnement;20.2
LA COURNEUVE;Autres dépenses d'investissement;41.1
LA COURNEUVE;Autres recettes de fonctionnement;27.4
LA COURNEUVE;Autres recettes d'investissement;146.2
LA COURNEUVE;Dépenses totales hors remb;2195.2
LA COURNEUVE;Epargne brute;168
LA COURNEUVE;Impôts et taxes;956.5
LA COURNEUVE;Encours de dette - Dettes bancaires et assimilées;1552.7
LA COURNEUVE;Frais de personnel;1038.9
LA COURNEUVE;Subventions reçues et participations;159.9
LA COURNEUVE;Recettes totales hors emprunts;2108.2
LA COURNEUVE;Capacité ou besoin de financement;-87
LA COURNEUVE;Emprunts hors GAD;404.3
LA COURNEUVE;Remboursements d'emprunts hors GAD;127.6
LA COURNEUVE;Annuité de la dette;177.2
LA COURNEUVE;Dépenses d'investissement;703.5
LA COURNEUVE;Dépenses totales;2322.8
LA COURNEUVE;Epargne nette;40.5
LA COURNEUVE;Flux net de dette;276.8
LA COURNEUVE;Recettes d'investissement;725.2
LA COURNEUVE;Recettes totales;2512.5
LA COURNEUVE;Variation du fonds de roulement;189.7
LE BLANC-MESNIL;Autres dotations et subventions;157.8
LE BLANC-MESNIL;Autres impôts et taxes;42.8
LE BLANC-MESNIL;Charges financières;31.8
LE BLANC-MESNIL;Achats et charges externes;422.3
LE BLANC-MESNIL;Autres dotations de fonctionnement;8.3
LE BLANC-MESNIL;FCTVA;37.4
LE BLANC-MESNIL;Fiscalité reversée;332.4
LE BLANC-MESNIL;Fonds de roulement;136.2
LE BLANC-MESNIL;Impôts locaux;1289
LE BLANC-MESNIL;Péréquations et compensations fiscales;19.5
LE BLANC-MESNIL;Produit des cessions d'immobilisations;26
LE BLANC-MESNIL;Recettes de fonctionnement;1861.1
LE BLANC-MESNIL;Recettes d'investissement hors emprunts;223.9
LE BLANC-MESNIL;Subventions aux personnes de droit privé;24.2
LE BLANC-MESNIL;Subventions d'équipement versées;15.8
LE BLANC-MESNIL;Epargne de gestion;399
LE BLANC-MESNIL;Concours de l'Etat;348.8
LE BLANC-MESNIL;Crédits de trésorerie;0
LE BLANC-MESNIL;Dépenses de fonctionnement;1496
LE BLANC-MESNIL;Dépenses d'équipement;535.6
LE BLANC-MESNIL;Dépenses d'intervention;108.3
LE BLANC-MESNIL;Dépenses d'investissement hors remb;554.5
LE BLANC-MESNIL;Dépôts au Trésor;320.2
LE BLANC-MESNIL;Dotation globale de fonctionnement;320.9
LE BLANC-MESNIL;Encours de dette;1442
LE BLANC-MESNIL;Encours de dette - Dépôts et cautionnements reçus;3.4
LE BLANC-MESNIL;Ventes de biens et services;112.4
LE BLANC-MESNIL;Autres dépenses de fonctionnement;25.8
LE BLANC-MESNIL;Autres dépenses d'investissement;3.1
LE BLANC-MESNIL;Autres recettes de fonctionnement;22.8
LE BLANC-MESNIL;Autres recettes d'investissement;28.7
LE BLANC-MESNIL;Dépenses totales hors remb;2050.5
LE BLANC-MESNIL;Epargne brute;365.1
LE BLANC-MESNIL;Impôts et taxes;1331.8
LE BLANC-MESNIL;Encours de dette - Dettes bancaires et assimilées;1435.1
LE BLANC-MESNIL;Frais de personnel;907.8
LE BLANC-MESNIL;Subventions reçues et participations;45.4
LE BLANC-MESNIL;Recettes totales hors emprunts;2085
LE BLANC-MESNIL;Capacité ou besoin de financement;34.5
LE BLANC-MESNIL;Emprunts hors GAD;69
LE BLANC-MESNIL;Remboursements d'emprunts hors GAD;146.1
LE BLANC-MESNIL;Annuité de la dette;177.9
LE BLANC-MESNIL;Dépenses d'investissement;700.6
LE BLANC-MESNIL;Dépenses totales;2196.6
LE BLANC-MESNIL;Epargne nette;219
LE BLANC-MESNIL;Flux net de dette;-77.1
LE BLANC-MESNIL;Recettes d'investissement;292.9
LE BLANC-MESNIL;Recettes totales;2154
LE BLANC-MESNIL;Variation du fonds de roulement;-42.6
LE BOURGET;Autres dotations et subventions;381.7
LE BOURGET;Autres impôts et taxes;74.1
LE BOURGET;Charges financières;38.2
LE BOURGET;Achats et charges externes;583.8
LE BOURGET;Autres dotations de fonctionnement;2.1
LE BOURGET;FCTVA;73.1
LE BOURGET;Fiscalité reversée;360.5
LE BOURGET;Fonds de roulement;-136.3
LE BOURGET;Impôts locaux;1313
LE BOURGET;Péréquations et compensations fiscales;11
LE BOURGET;Produit des cessions d'immobilisations;98.2
LE BOURGET;Recettes de fonctionnement;1773.7
LE BOURGET;Recettes d'investissement hors emprunts;553
LE BOURGET;Subventions aux personnes de droit privé;42.1
LE BOURGET;Subventions d'équipement versées;0
LE BOURGET;Epargne de gestion;56
LE BOURGET;Concours de l'Etat;122.1
LE BOURGET;Crédits de trésorerie;0
LE BOURGET;Dépenses de fonctionnement;1755.2
LE BOURGET;Dépenses d'équipement;345.6
LE BOURGET;Dépenses d'intervention;132.9
LE BOURGET;Dépenses d'investissement hors remb;374.2
LE BOURGET;Dépôts au Trésor;53.8
LE BOURGET;Dotation globale de fonctionnement;109
LE BOURGET;Encours de dette;1127
LE BOURGET;Encours de dette - Dépôts et cautionnements reçus;0.9
LE BOURGET;Ventes de biens et services;165.5
LE BOURGET;Autres dépenses de fonctionnement;79.2
LE BOURGET;Autres dépenses d'investissement;28.6
LE BOURGET;Autres recettes de fonctionnement;25.1
LE BOURGET;Autres recettes d'investissement;98.2
LE BOURGET;Dépenses totales hors remb;2129.4
LE BOURGET;Epargne brute;18.5
LE BOURGET;Impôts et taxes;1387.1
LE BOURGET;Encours de dette - Dettes bancaires et assimilées;1126.1
LE BOURGET;Frais de personnel;921.2
LE BOURGET;Subventions reçues et participations;73.9
LE BOURGET;Recettes totales hors emprunts;2326.7
LE BOURGET;Capacité ou besoin de financement;197.3
LE BOURGET;Emprunts hors GAD;0
LE BOURGET;Remboursements d'emprunts hors GAD;186.6
LE BOURGET;Annuité de la dette;224.7
LE BOURGET;Dépenses d'investissement;560.7
LE BOURGET;Dépenses totales;2316
LE BOURGET;Epargne nette;-168.1
LE BOURGET;Flux net de dette;-186.6
LE BOURGET;Recettes d'investissement;553
LE BOURGET;Recettes totales;2326.7
LE BOURGET;Variation du fonds de roulement;10.7
LE PRE-SAINT-GERVAIS;Autres dotations et subventions;91.6
LE PRE-SAINT-GERVAIS;Autres impôts et taxes;72.2
LE PRE-SAINT-GERVAIS;Charges financières;13.9
LE PRE-SAINT-GERVAIS;Achats et charges externes;500.2
LE PRE-SAINT-GERVAIS;Autres dotations de fonctionnement;2
LE PRE-SAINT-GERVAIS;FCTVA;30.1
LE PRE-SAINT-GERVAIS;Fiscalité reversée;-46.4
LE PRE-SAINT-GERVAIS;Fonds de roulement;312.6
LE PRE-SAINT-GERVAIS;Impôts locaux;1054.8
LE PRE-SAINT-GERVAIS;Péréquations et compensations fiscales;4.5
LE PRE-SAINT-GERVAIS;Produit des cessions d'immobilisations;0
LE PRE-SAINT-GERVAIS;Recettes de fonctionnement;1682.3
LE PRE-SAINT-GERVAIS;Recettes d'investissement hors emprunts;152
LE PRE-SAINT-GERVAIS;Subventions aux personnes de droit privé;25.3
LE PRE-SAINT-GERVAIS;Subventions d'équipement versées;39.7
LE PRE-SAINT-GERVAIS;Epargne de gestion;237.3
LE PRE-SAINT-GERVAIS;Concours de l'Etat;314.7
LE PRE-SAINT-GERVAIS;Crédits de trésorerie;0
LE PRE-SAINT-GERVAIS;Dépenses de fonctionnement;1459.1
LE PRE-SAINT-GERVAIS;Dépenses d'équipement;602.1
LE PRE-SAINT-GERVAIS;Dépenses d'intervention;120.6
LE PRE-SAINT-GERVAIS;Dépenses d'investissement hors remb;672.2
LE PRE-SAINT-GERVAIS;Dépôts au Trésor;298.8
LE PRE-SAINT-GERVAIS;Dotation globale de fonctionnement;308.2
LE PRE-SAINT-GERVAIS;Encours de dette;923.6
LE PRE-SAINT-GERVAIS;Encours de dette - Dépôts et cautionnements reçus;2.1
LE PRE-SAINT-GERVAIS;Ventes de biens et services;132.2
LE PRE-SAINT-GERVAIS;Autres dépenses de fonctionnement;22.5
LE PRE-SAINT-GERVAIS;Autres dépenses d'investissement;30.4
LE PRE-SAINT-GERVAIS;Autres recettes de fonctionnement;36.5
LE PRE-SAINT-GERVAIS;Autres recettes d'investissement;30.4
LE PRE-SAINT-GERVAIS;Dépenses totales hors remb;2131.3
LE PRE-SAINT-GERVAIS;Epargne brute;223.2
LE PRE-SAINT-GERVAIS;Impôts et taxes;1127
LE PRE-SAINT-GERVAIS;Encours de dette - Dettes bancaires et assimilées;921.5
LE PRE-SAINT-GERVAIS;Frais de personnel;801.8
LE PRE-SAINT-GERVAIS;Subventions reçues et participations;72
LE PRE-SAINT-GERVAIS;Recettes totales hors emprunts;1834.4
LE PRE-SAINT-GERVAIS;Capacité ou besoin de financement;-296.9
LE PRE-SAINT-GERVAIS;Emprunts hors GAD;354.8
LE PRE-SAINT-GERVAIS;Remboursements d'emprunts hors GAD;73.9
LE PRE-SAINT-GERVAIS;Annuité de la dette;87.9
LE PRE-SAINT-GERVAIS;Dépenses d'investissement;746.1
LE PRE-SAINT-GERVAIS;Dépenses totales;2205.2
LE PRE-SAINT-GERVAIS;Epargne nette;149.3
LE PRE-SAINT-GERVAIS;Flux net de dette;280.8
LE PRE-SAINT-GERVAIS;Recettes d'investissement;506.8
LE PRE-SAINT-GERVAIS;Recettes totales;2189.1
LE PRE-SAINT-GERVAIS;Variation du fonds de roulement;-16.1
LES LILAS;Autres dotations et subventions;86.3
LES LILAS;Autres impôts et taxes;70.9
LES LILAS;Charges financières;28.8
LES LILAS;Achats et charges externes;364.4
LES LILAS;Autres dotations de fonctionnement;1.7
LES LILAS;FCTVA;37
LES LILAS;Fiscalité reversée;51.1
LES LILAS;Fonds de roulement;368.8
LES LILAS;Fonds de soutien aux emprunts à risque;128.9
LES LILAS;Impôts locaux;1239.5
LES LILAS;Péréquations et compensations fiscales;10.8
LES LILAS;Produit des cessions d'immobilisations;101.8
LES LILAS;Recettes de fonctionnement;1775.2
LES LILAS;Recettes d'investissement hors emprunts;225
LES LILAS;Subventions aux personnes de droit privé;32
LES LILAS;Subventions d'équipement versées;3.7
LES LILAS;Epargne de gestion;210.5
LES LILAS;Concours de l'Etat;144.4
LES LILAS;Crédits de trésorerie;0
LES LILAS;Dépenses de fonctionnement;1568.2
LES LILAS;Dépenses d'équipement;421.1
LES LILAS;Dépenses d'intervention;135.3
LES LILAS;Dépenses d'investissement hors remb;433.4
LES LILAS;Dépôts au Trésor;401.7
LES LILAS;Dotation globale de fonctionnement;131.9
LES LILAS;Encours de dette;761.1
LES LILAS;Encours de dette - Dépôts et cautionnements reçus;14.7
LES LILAS;Ventes de biens et services;157.6
LES LILAS;Autres dépenses de fonctionnement;25.9
LES LILAS;Autres dépenses d'investissement;8.6
LES LILAS;Autres recettes de fonctionnement;52.8
LES LILAS;Autres recettes d'investissement;101.8
LES LILAS;Dépenses totales hors remb;2001.7
LES LILAS;Epargne brute;206.9
LES LILAS;Impôts et taxes;1310.4
LES LILAS;Encours de dette - Dettes bancaires et assimilées;746.5
LES LILAS;Frais de personnel;1013.8
LES LILAS;Subventions reçues et participations;110
LES LILAS;Recettes totales hors emprunts;2000.2
LES LILAS;Capacité ou besoin de financement;-1.5
LES LILAS;Emprunts hors GAD;0
LES LILAS;Remboursements d'emprunts hors GAD;58.5
LES LILAS;Annuité de la dette;87.3
LES LILAS;Dépenses d'investissement;491.9
LES LILAS;Dépenses totales;2060.1
LES LILAS;Epargne nette;148.5
LES LILAS;Flux net de dette;-58.5
LES LILAS;Recettes d'investissement;225
LES LILAS;Recettes totales;2000.2
LES LILAS;Variation du fonds de roulement;-59.9
LES PAVILLONS-SOUS-BOIS;Autres dotations et subventions;86.7
LES PAVILLONS-SOUS-BOIS;Autres impôts et taxes;50.9
LES PAVILLONS-SOUS-BOIS;Charges financières;4.2
LES PAVILLONS-SOUS-BOIS;Achats et charges externes;332.8
LES PAVILLONS-SOUS-BOIS;Autres dotations de fonctionnement;2.8
LES PAVILLONS-SOUS-BOIS;FCTVA;30.1
LES PAVILLONS-SOUS-BOIS;Fiscalité reversée;182.1
LES PAVILLONS-SOUS-BOIS;Fonds de roulement;250.2
LES PAVILLONS-SOUS-BOIS;Impôts locaux;1067.5
LES PAVILLONS-SOUS-BOIS;Péréquations et compensations fiscales;6
LES PAVILLONS-SOUS-BOIS;Produit des cessions d'immobilisations;0
LES PAVILLONS-SOUS-BOIS;Recettes de fonctionnement;1563
LES PAVILLONS-SOUS-BOIS;Recettes d'investissement hors emprunts;119.7
LES PAVILLONS-SOUS-BOIS;Subventions aux personnes de droit privé;60.2
LES PAVILLONS-SOUS-BOIS;Subventions d'équipement versées;0
LES PAVILLONS-SOUS-BOIS;Epargne de gestion;201.1
LES PAVILLONS-SOUS-BOIS;Concours de l'Etat;113.6
LES PAVILLONS-SOUS-BOIS;Crédits de trésorerie;0
LES PAVILLONS-SOUS-BOIS;Dépenses de fonctionnement;1366.7
LES PAVILLONS-SOUS-BOIS;Dépenses d'équipement;271.8
LES PAVILLONS-SOUS-BOIS;Dépenses d'intervention;134.7
LES PAVILLONS-SOUS-BOIS;Dépenses d'investissement hors remb;273.6
LES PAVILLONS-SOUS-BOIS;Dépôts au Trésor;269.8
LES PAVILLONS-SOUS-BOIS;Dotation globale de fonctionnement;104.9
LES PAVILLONS-SOUS-BOIS;Encours de dette;329.5
LES PAVILLONS-SOUS-BOIS;Encours de dette - Dépôts et cautionnements reçus;1.3
LES PAVILLONS-SOUS-BOIS;Ventes de biens et services;155.6
LES PAVILLONS-SOUS-BOIS;Autres dépenses de fonctionnement;29.2
LES PAVILLONS-SOUS-BOIS;Autres dépenses d'investissement;1.8
LES PAVILLONS-SOUS-BOIS;Autres recettes de fonctionnement;51.1
LES PAVILLONS-SOUS-BOIS;Autres recettes d'investissement;2.8
LES PAVILLONS-SOUS-BOIS;Dépenses totales hors remb;1640.3
LES PAVILLONS-SOUS-BOIS;Epargne brute;196.3
LES PAVILLONS-SOUS-BOIS;Impôts et taxes;1118.3
LES PAVILLONS-SOUS-BOIS;Encours de dette - Dettes bancaires et assimilées;328.2
LES PAVILLONS-SOUS-BOIS;Frais de personnel;865.8
LES PAVILLONS-SOUS-BOIS;Subventions reçues et participations;124.4
LES PAVILLONS-SOUS-BOIS;Recettes totales hors emprunts;1682.7
LES PAVILLONS-SOUS-BOIS;Capacité ou besoin de financement;42.4
LES PAVILLONS-SOUS-BOIS;Emprunts hors GAD;33
LES PAVILLONS-SOUS-BOIS;Remboursements d'emprunts hors GAD;50.4
LES PAVILLONS-SOUS-BOIS;Annuité de la dette;54.7
LES PAVILLONS-SOUS-BOIS;Dépenses d'investissement;324
LES PAVILLONS-SOUS-BOIS;Dépenses totales;1690.8
LES PAVILLONS-SOUS-BOIS;Epargne nette;145.9
LES PAVILLONS-SOUS-BOIS;Flux net de dette;-17.4
LES PAVILLONS-SOUS-BOIS;Recettes d'investissement;152.7
LES PAVILLONS-SOUS-BOIS;Recettes totales;1715.7
LES PAVILLONS-SOUS-BOIS;Variation du fonds de roulement;25
LIVRY-GARGAN;Autres dotations et subventions;72.5
LIVRY-GARGAN;Autres impôts et taxes;51.4
LIVRY-GARGAN;Charges financières;18.4
LIVRY-GARGAN;Achats et charges externes;341.7
LIVRY-GARGAN;Autres dotations de fonctionnement;5.9
LIVRY-GARGAN;FCTVA;33.3
LIVRY-GARGAN;Fiscalité reversée;137.1
LIVRY-GARGAN;Fonds de roulement;232.3
LIVRY-GARGAN;Impôts locaux;1079.8
LIVRY-GARGAN;Péréquations et compensations fiscales;4.7
LIVRY-GARGAN;Produit des cessions d'immobilisations;0.3
LIVRY-GARGAN;Recettes de fonctionnement;1604.1
LIVRY-GARGAN;Recettes d'investissement hors emprunts;107.7
LIVRY-GARGAN;Subventions aux personnes de droit privé;24.1
LIVRY-GARGAN;Subventions d'équipement versées;4.5
LIVRY-GARGAN;Epargne de gestion;218.7
LIVRY-GARGAN;Concours de l'Etat;167.8
LIVRY-GARGAN;Crédits de trésorerie;0
LIVRY-GARGAN;Dépenses de fonctionnement;1401.5
LIVRY-GARGAN;Dépenses d'équipement;364.9
LIVRY-GARGAN;Dépenses d'intervention;101.1
LIVRY-GARGAN;Dépenses d'investissement hors remb;371.4
LIVRY-GARGAN;Dépôts au Trésor;232.8
LIVRY-GARGAN;Dotation globale de fonctionnement;157.2
LIVRY-GARGAN;Encours de dette;814.5
LIVRY-GARGAN;Encours de dette - Dépôts et cautionnements reçus;1.2
LIVRY-GARGAN;Ventes de biens et services;129.5
LIVRY-GARGAN;Autres dépenses de fonctionnement;22.4
LIVRY-GARGAN;Autres dépenses d'investissement;2
LIVRY-GARGAN;Autres recettes de fonctionnement;21
LIVRY-GARGAN;Autres recettes d'investissement;1.9
LIVRY-GARGAN;Dépenses totales hors remb;1772.9
LIVRY-GARGAN;Epargne brute;202.5
LIVRY-GARGAN;Impôts et taxes;1131.2
LIVRY-GARGAN;Encours de dette - Dettes bancaires et assimilées;813.4
LIVRY-GARGAN;Frais de personnel;917.9
LIVRY-GARGAN;Subventions reçues et participations;154.6
LIVRY-GARGAN;Recettes totales hors emprunts;1711.7
LIVRY-GARGAN;Capacité ou besoin de financement;-61.2
LIVRY-GARGAN;Emprunts hors GAD;96.2
LIVRY-GARGAN;Remboursements d'emprunts hors GAD;59.5
LIVRY-GARGAN;Annuité de la dette;78
LIVRY-GARGAN;Dépenses d'investissement;430.9
LIVRY-GARGAN;Dépenses totales;1832.4
LIVRY-GARGAN;Epargne nette;143
LIVRY-GARGAN;Flux net de dette;36.7
LIVRY-GARGAN;Recettes d'investissement;203.9
LIVRY-GARGAN;Recettes totales;1807.9
LIVRY-GARGAN;Variation du fonds de roulement;-24.5
MONTFERMEIL;Autres dotations et subventions;62.8
MONTFERMEIL;Autres impôts et taxes;38.6
MONTFERMEIL;Charges financières;19.9
MONTFERMEIL;Achats et charges externes;407.2
MONTFERMEIL;Autres dotations de fonctionnement;5.5
MONTFERMEIL;FCTVA;40.7
MONTFERMEIL;Fiscalité reversée;8
MONTFERMEIL;Fonds de roulement;944.5
MONTFERMEIL;Impôts locaux;1069
MONTFERMEIL;Péréquations et compensations fiscales;19.9
MONTFERMEIL;Produit des cessions d'immobilisations;0
MONTFERMEIL;Recettes de fonctionnement;1734.5
MONTFERMEIL;Recettes d'investissement hors emprunts;103.9
MONTFERMEIL;Subventions aux personnes de droit privé;12.7
MONTFERMEIL;Subventions d'équipement versées;0
MONTFERMEIL;Epargne de gestion;381.5
MONTFERMEIL;Concours de l'Etat;365.1
MONTFERMEIL;Crédits de trésorerie;0
MONTFERMEIL;Dépenses de fonctionnement;1373.9
MONTFERMEIL;Dépenses d'équipement;446.8
MONTFERMEIL;Dépenses d'intervention;60.6
MONTFERMEIL;Dépenses d'investissement hors remb;454
MONTFERMEIL;Dépôts au Trésor;951.9
MONTFERMEIL;Dotation globale de fonctionnement;339.8
MONTFERMEIL;Encours de dette;1069.9
MONTFERMEIL;Encours de dette - Dépôts et cautionnements reçus;1.1
MONTFERMEIL;Ventes de biens et services;139.7
MONTFERMEIL;Autres dépenses de fonctionnement;38.4
MONTFERMEIL;Autres dépenses d'investissement;7.1
MONTFERMEIL;Autres recettes de fonctionnement;62.9
MONTFERMEIL;Autres recettes d'investissement;0.3
MONTFERMEIL;Dépenses totales hors remb;1827.9
MONTFERMEIL;Epargne brute;360.6
MONTFERMEIL;Impôts et taxes;1107.6
MONTFERMEIL;Encours de dette - Dettes bancaires et assimilées;1068.8
MONTFERMEIL;Frais de personnel;847.9
MONTFERMEIL;Subventions reçues et participations;59.2
MONTFERMEIL;Recettes totales hors emprunts;1838.4
MONTFERMEIL;Capacité ou besoin de financement;10.5
MONTFERMEIL;Emprunts hors GAD;0
MONTFERMEIL;Remboursements d'emprunts hors GAD;201.2
MONTFERMEIL;Annuité de la dette;221.1
MONTFERMEIL;Dépenses d'investissement;655.2
MONTFERMEIL;Dépenses totales;2029.1
MONTFERMEIL;Epargne nette;159.4
MONTFERMEIL;Flux net de dette;-201.2
MONTFERMEIL;Recettes d'investissement;103.9
MONTFERMEIL;Recettes totales;1838.4
MONTFERMEIL;Variation du fonds de roulement;-190.7
MONTREUIL;Autres dotations et subventions;57.7
MONTREUIL;Autres impôts et taxes;72.6
MONTREUIL;Charges financières;48.3
MONTREUIL;Achats et charges externes;445
MONTREUIL;Autres dotations de fonctionnement;5.8
MONTREUIL;FCTVA;31.6
MONTREUIL;Fiscalité reversée;212.9
MONTREUIL;Fonds de roulement;71.6
MONTREUIL;Impôts locaux;1368.9
MONTREUIL;Péréquations et compensations fiscales;14
MONTREUIL;Produit des cessions d'immobilisations;21.7
MONTREUIL;Recettes de fonctionnement;1905.4
MONTREUIL;Recettes d'investissement hors emprunts;111.3
MONTREUIL;Subventions aux personnes de droit privé;43.9
MONTREUIL;Subventions d'équipement versées;5.5
MONTREUIL;Epargne de gestion;260.8
MONTREUIL;Concours de l'Etat;158
MONTREUIL;Crédits de trésorerie;0
MONTREUIL;Dépenses de fonctionnement;1691.4
MONTREUIL;Dépenses d'équipement;329.9
MONTREUIL;Dépenses d'intervention;103.6
MONTREUIL;Dépenses d'investissement hors remb;337
